iter	Passed	Remaining
776	4326	29079
777	4332	29078
778	4337	29073
779	4344	29073
780	4349	29064
781	4355	29061
782	4361	29060
783	4366	29050
784	4372	29045
785	4378	29042
786	4384	29042
787	4389	29035
788	4395	29033
789	4401	29027
790	4407	29022
791	4411	29010
792	4416	29001
793	4420	28986
794	4425	28976
795	4431	28970
796	4436	28960
797	4440	28948
798	4446	28942
799	4451	28934
800	4456	28925
801	4461	28917
802	4467	28913
803	4473	28909
804	4478	28904
805	4484	28898
806	4489	28891
807	4494	28882
808	4499	28872
809	4504	28865
810	4509	28855
811	4514	28844
812	4519	28835
813	4524	28825
814	4529	28813
815	4534	28809
816	4539	28799
817	4545	28795
818	4550	28783
819	4555	28776
820	4560	28769
821	4566	28762
822	4572	28760
823	4577	28753
824	4581	28741
825	4587	28734
826	4591	28723
827	4596	28713
828	4602	28705
829	4607	28699
830	4612	28693
831	4618	28685
832	4623	28681
833	4629	28678
834	4634	28668
835	4640	28662
836	4645	28657
837	4650	28647
838	4655	28634
839	4660	28626
840	4665	28621
841	4670	28610
842	4676	28607
843	4681	28599
844	4685	28586
845	4690	28575
846	4695	28567
847	4701	28564
848	4707	28560
849	4713	28556
850	4719	28552
851	4723	28542
852	4729	28538
853	4734	28530
854	4739	28522
855	4745	28516
856	4751	28513
857	4757	28510
858	4761	28499
859	4766	28489
860	4772	28484
861	4777	28475
862	4782	28465
863	4786	28455
864	4793	28454
865	4798	28445
866	4803	28437
867	4808	28430
868	4813	28419
869	4818	28411
870	4823	28402
871	4828	28398
872	4834	28391
873	4839	28381
874	4844	28372
875	4849	28366
876	4854	28357
877	4859	28346
878	4864	28337
879	4870	28334
880	4875	28331
881	4880	28320
882	4885	28313
883	4891	28308
884	4897	28303
885	4902	28299
886	4907	28288
887	4912	28281
888	4918	28274
889	4923	28269
890	4928	28260
891	4933	28253
892	4939	28247
893	4943	28236
894	4949	28231
895	4955	28227
896	4960	28222
897	4966	28214
898	4970	28205
899	4977	28204
900	4982	28195
901	4987	28186
902	4992	28178
903	4997	28170
904	5002	28162
905	5008	28159
906	5013	28153
907	5018	28146
908	5025	28146
909	5031	28141
910	5036	28132
911	5041	28126
912	5046	28118
913	5052	28115
914	5058	28112
915	5063	28104
916	5068	28096
917	5074	28093
918	5079	28085
919	5085	28080
920	5091	28075
921	5096	28070
922	5101	28059
923	5107	28059
924	5112	28052
925	5118	28045
926	5124	28044
927	5130	28041
928	5135	28034
929	5141	28028
930	5146	28020
931	5152	28017
932	5157	28011
933	5164	28012
934	5170	28008
935	5176	28004
936	5182	28003
937	5187	27997
938	5193	27990
939	5198	27983
940	5204	27978
941	5210	27975
942	5215	27970
943	5220	27961
944	5226	27956
945	5231	27947
946	5237	27946
947	5242	27939
948	5248	27933
949	5253	27928
950	5258	27920
951	5263	27912
952	5269	27907
953	5275	27902
954	5281	27898
955	5285	27888
956	5289	27875
957	5294	27864
958	5300	27860
959	5305	27852
960	5310	27846
961	5316	27843
962	5322	27838
963	5328	27835
964	5335	27837
965	5341	27836
966	5347	27829
967	5351	27819
968	5356	27811
969	5362	27809
970	5368	27802
971	5374	27799
972	5379	27792
973	5385	27789
974	5391	27786
975	5397	27783
976	5402	27776
977	5406	27762
978	5410	27748
979	5414	27737
980	5419	27728
981	5424	27718
982	5430	27714
983	5435	27709
984	5442	27711
985	5447	27701
986	5452	27693
987	5457	27686
988	5462	27676
989	5467	27669
990	5473	27663
991	5478	27656
992	5483	27651
993	5489	27646
994	5495	27641
995	5500	27634
996	5505	27625
997	5510	27620
998	5516	27613
999	5521	27607
1000	5526	27599
1001	5531	27593
1002	5538	27590
1003	5542	27580
1004	5548	27577
1005	5554	27572
1006	5560	27571
1007	5566	27567
1008	5572	27562
1009	5577	27557
1010	5582	27546
1011	5588	27544
1012	5593	27538
1013	5599	27534
1014	5605	27528
1015	5611	27527
1016	5617	27524
1017	5622	27516
1018	5628	27512
1019	5633	27505
1020	5638	27499
1021	5644	27494
1022	5649	27485
1023	5654	27479
1024	5660	27475
1025	5666	27470
1026	5671	27464
1027	5676	27456
1028	5680	27443
1029	5685	27434
1030	5690	27427
1031	5696	27423
1032	5701	27414
1033	5708	27414
1034	5713	27408
1035	5718	27401
1036	5723	27394
1037	5728	27384
1038	5734	27381
1039	5740	27376
1040	5745	27367
1041	5750	27363
1042	5755	27352
1043	5761	27351
1044	5767	27347
1045	5772	27339
1046	5778	27337
1047	5783	27330
1048	5789	27326
1049	5795	27323
1050	5801	27317
1051	5805	27305
1052	5810	27298
1053	5815	27289
1054	5820	27280
1055	5825	27274
1056	5831	27268
1057	5837	27265
1058	5843	27265
1059	5850	27265
1060	5855	27258
1061	5861	27252
1062	5866	27245
1063	5871	27236
1064	5876	27230
1065	5882	27227
1066	5887	27220
1067	5893	27216
1068	5898	27207
1069	5904	27204
1070	5909	27197
1071	5915	27192
1072	5920	27184
1073	5925	27179
1074	5931	27172
1075	5935	27163
1076	5941	27158
1077	5947	27154
1078	5951	27144
1079	5957	27137
1080	5963	27135
1081	5968	27129
1082	5973	27119
1083	5978	27113
1084	5984	27108
1085	5989	27101
1086	5995	27096
1087	6000	27089
1088	6004	27080
1089	6009	27069
1090	6014	27061
1091	6019	27053
1092	6024	27046
1093	6029	27039
1094	6035	27034
1095	6040	27027
1096	6045	27020
1097	6050	27012
1098	6056	27006
1099	6061	26999
1100	6066	26992
1101	6072	26988
1102	6076	26977
1103	6081	26970
1104	6087	26966
1105	6093	26961
1106	6097	26952
1107	6103	26946
1108	6108	26939
1109	6114	26935
1110	6119	26930
1111	6125	26925
1112	6131	26924
1113	6137	26917
1114	6142	26909
1115	6147	26902
1116	6153	26898
1117	6157	26889
1118	6162	26880
1119	6168	26875
1120	6174	26873
1121	6179	26867
1122	6185	26864
1123	6191	26859
1124	6197	26856
1125	6202	26847
1126	6208	26842
1127	6214	26839
1128	6219	26834
1129	6225	26831
1130	6230	26822
1131	6236	26820
1132	6241	26813
1133	6247	26806
1134	6252	26799
1135	6257	26791
1136	6262	26783
1137	6267	26777
1138	6273	26772
1139	6278	26767
1140	6284	26763
1141	6290	26758
1142	6295	26752
1143	6301	26746
1144	6306	26738
1145	6311	26732
1146	6316	26724
1147	6322	26720
1148	6328	26717
1149	6333	26711
1150	6339	26709
1151	6345	26702
1152	6350	26694
1153	6354	26684
1154	6359	26678
1155	6364	26670
1156	6369	26663
1157	6375	26656
1158	6381	26654
1159	6388	26653
1160	6393	26648
1161	6399	26643
1162	6404	26637
1163	6410	26632
1164	6415	26624
1165	6420	26617
1166	6426	26614
1167	6431	26606
1168	6435	26597
1169	6441	26591
1170	6446	26585
1171	6451	26577
1172	6456	26570
1173	6462	26565
1174	6467	26557
1175	6472	26550
1176	6479	26550
1177	6485	26546
1178	6490	26538
1179	6495	26531
1180	6500	26526
1181	6505	26518
1182	6511	26512
1183	6516	26507
1184	6522	26501
1185	6527	26496
1186	6533	26490
1187	6538	26485
1188	6544	26481
1189	6550	26479
1190	6556	26475
1191	6562	26470
1192	6568	26467
1193	6574	26463
1194	6581	26461
1195	6587	26459
1196	6592	26452
1197	6596	26441
1198	6601	26434
1199	6606	26424
1200	6611	26419
1201	6617	26413
1202	6623	26409
1203	6629	26406
1204	6634	26400
1205	6641	26399
1206	6647	26396
1207	6652	26388
1208	6658	26386
1209	6663	26380
1210	6669	26373
1211	6674	26367
1212	6680	26364
1213	6686	26360
1214	6691	26352
1215	6697	26349
1216	6702	26342
1217	6708	26338
1218	6714	26334
1219	6721	26333
1220	6725	26325
1221	6731	26320
1222	6737	26314
1223	6742	26308
1224	6748	26305
1225	6753	26298
1226	6759	26292
1227	6764	26285
1228	6769	26279
1229	6775	26274
1230	6781	26270
1231	6786	26266
1232	6792	26261
1233	6798	26257
1234	6804	26253
1235	6810	26250
1236	6815	26243
1237	6820	26234
1238	6826	26230
1239	6831	26224
1240	6836	26217
1241	6841	26208
1242	6846	26201
1243	6852	26197
1244	6858	26193
1245	6863	26185
1246	6868	26179
1247	6874	26174
1248	6879	26169
1249	6884	26160
1250	6890	26156
1251	6896	26152
1252	6901	26148
1253	6907	26141
1254	6912	26136
1255	6918	26132
1256	6923	26125
1257	6928	26116
1258	6934	26111
1259	6940	26108
1260	6947	26108
1261	6952	26101
1262	6957	26094
1263	6963	26090
1264	6969	26088
1265	6974	26080
1266	6980	26075
1267	6984	26066
1268	6990	26061
1269	6995	26054
1270	7001	26049
1271	7005	26039
1272	7011	26037
1273	7017	26030
1274	7022	26025
1275	7028	26020
1276	7033	26012
1277	7038	26005
1278	7043	25999
1279	7048	25991
1280	7053	25985
1281	7059	25979
1282	7064	25972
1283	7069	25965
1284	7074	25959
1285	7080	25952
1286	7085	25947
1287	7090	25939
1288	7096	25935
1289	7101	25930
1290	7107	25923
1291	7113	25920
1292	7118	25913
1293	7123	25906
1294	7129	25901
1295	7134	25894
1296	7140	25890
1297	7146	25887
